"122 Austin Street, Mount Victoria, Wellington"
"23/14 Leeds Street, Te Aro, Wellington"
"156 Cuba Street, Te Aro, Wellington"
"203 Tasman Street, Mount Cook, Wellington"
"38 Nairn Street, Mount Cook, Wellington"
"64 Nairn Street, Mount Cook, Wellington"
"376 Tinakori Road, Thorndon, Wellington"
"32 Brooklyn Road, Brooklyn, Wellington"
"37 Porritt Avenue, Mount Victoria, Wellington"
"23 Holland Street, Te Aro, Wellington"
"14/5 Eva Street, Te Aro, Wellington"
"16/5 Eva Street, Te Aro, Wellington"
"17/5 Eva Street, Te Aro, Wellington"
"18/5 Eva Street, Te Aro, Wellington"
"21/5 Eva Street, Te Aro, Wellington"
"31/5 Eva Street, Te Aro, Wellington"
"36/5 Eva Street, Te Aro, Wellington"
"37/5 Eva Street, Te Aro, Wellington"
"39/5 Eva Street, Te Aro, Wellington"
"40/5 Eva Street, Te Aro, Wellington"
"43/5 Eva Street, Te Aro, Wellington"
"45/5 Eva Street, Te Aro, Wellington"
"55/5 Eva Street, Te Aro, Wellington"
"56/5 Eva Street, Te Aro, Wellington"
"59/5 Eva Street, Te Aro, Wellington"
"2A Rugby Street, Mount Cook, Wellington"
"131 Cuba Street, Te Aro, Wellington"
"164A Aro Street, Aro Valley, Wellington"
"5/78 Hutt Road, Pipitea, Wellington"
"9/78 Hutt Road, Pipitea, Wellington"
"80 Tinakori Road, Thorndon, Wellington"
"205/38 Hankey Street, Mount Cook, Wellington"
"208/38 Hankey Street, Mount Cook, Wellington"
"211/38 Hankey Street, Mount Cook, Wellington"
"69A Elizabeth Street, Mount Victoria, Wellington"
"28 Hanson Street, Mount Cook, Wellington"
"16 Hospital Road, Newtown, Wellington"
"1/319 The Terrace, Te Aro, Wellington"
"121/40 The Terrace, Wellington Central, Wellington"
"6/1 Brooklyn Road, Mount Cook, Wellington"
"9F/242 Taranaki Street, Mount Cook, Wellington"
"912/46 Nairn Street, Mount Cook, Wellington"
"915/46 Nairn Street, Mount Cook, Wellington"
"501/107 Thorndon Quay, Pipitea, Wellington"
"3A Roxburgh Street, Mount Victoria, Wellington"
"919/46 Nairn Street, Mount Cook, Wellington"
"920/46 Nairn Street, Mount Cook, Wellington"
"155 Aro Street, Aro Valley, Wellington"
"101/40 The Terrace, Wellington Central, Wellington"
"103/40 The Terrace, Wellington Central, Wellington"
"9 Manners Street, Te Aro, Wellington"
"107/40 The Terrace, Wellington Central, Wellington"
"1/35 Torrens Terrace, Mount Cook, Wellington"
"108 Tasman Street, Mount Cook, Wellington"
"5/35 Torrens Terrace, Mount Cook, Wellington"
"33 Little George Street, Thorndon, Wellington"
"110 Tasman Street, Mount Cook, Wellington"
"7/35 Torrens Terrace, Mount Cook, Wellington"
"40 Wright Street, Mount Cook, Wellington"
"10/35 Torrens Terrace, Mount Cook, Wellington"
"11/35 Torrens Terrace, Mount Cook, Wellington"
"364 Tinakori Road, Thorndon, Wellington"
"12/35 Torrens Terrace, Mount Cook, Wellington"
"15/35 Torrens Terrace, Mount Cook, Wellington"
"12/40 The Terrace, Wellington Central, Wellington"
"16/35 Torrens Terrace, Mount Cook, Wellington"
"16/40 The Terrace, Wellington Central, Wellington"
"17/35 Torrens Terrace, Mount Cook, Wellington"
"26 Kelburn Parade, Kelburn, Wellington"
"40 Boulcott Street, Wellington Central, Wellington"
"G24/107 Thorndon Quay, Pipitea, Wellington"
"303/107 Thorndon Quay, Pipitea, Wellington"
"307/107 Thorndon Quay, Pipitea, Wellington"
"296 The Terrace, Te Aro, Wellington"
"210/107 Thorndon Quay, Pipitea, Wellington"
"51 Wallace Street, Mount Cook, Wellington"
"78 Rolleston Street, Mount Cook, Wellington"
